Codigo;produto;QTD.;Vlr Unit.
19127; ADVIL 400MG C 20 ;1;53,2
13380; ADVIL 400MG ENV 3 CAPS;1;10,23
11; AERODINE SPRAY C/200 DOSES;134;21,23
14; AEROLIN SPRAY 200 DOSES;6;27,83
36598; AFCALM SPRAY BUCAL 30ML (BIOLA;6;36,26
33483; AFETUS 50MG 30CP REV;1;115,64
24571; AFFER SPRAY 0,04% 30ML;1;100
10666; AFTINE GOTAS SABOR MENTA 20ML;5;24
5886; AFTLIV 100MG/ML NATULAB ;1;29,56
36363; AG PROT SOL CPO FPS70 ALTA PRO;1;50
36364; AG PROT SOLAR FACIAL FPS 70 50;2;51
22886; AGUA BORICADA 100ML UNIPHAR;12;4
12050; AGUA DE COLONIA BABY MENINA;1;14
20; AGUA DESTILADA P/INJECAO 10ML;39;2
27987; AGUA MICELAR 200ML FARMAX;2;20
30264; AGUA MICELAR DERMA CHEM VIT C;6;12,5
27085; AGUA MICELAR GARNIER ANTIOLISA;2;50
17945; AGUA MICELAR HIDRADERM 200ML F;2;16
15771; AGUA MICELAR LOREAL 200ML;2;34
28707; AGUA MICELAR MATTE HIDRADERM 2;2;16
29975; AGUA MICELAR ROSA MOSQUETA ION;3;12,5
26901; AGUA OX 10 VOL FARMAX SPRAY ;14;6
16786; AGUA OX DESCOL FARMAX 40VL;11;2,5
36539; AGUA OXIG 10VL SPRAY 100ML (UN;2;6,5
19302; AGUA OXIG MARCIA 900ML 10V ;2;16
9948; AGUA OXIG. CREMOSA 20VOL 70ML;6;2,5
2682; AGUA OXIG. CREMOSA 30V 70ML;10;2,5
9852; AGUA OXIG. CREMOSA 40 C/70ML;22;2,5
20098; AGUA OXIGENADA 1000ML 40V;1;24
30988; AGUA OXIGENADA 10V 1LT   VICKP;1;19,5
17388; AGUA OXIGENADA 20VOL 900ML MAR;2;16
14984; AGUA OXIGENADA 30 90ML FARMAX;14;3
17390; AGUA OXIGENADA 30VOL 900ML MAR;13;16
17389; AGUA OXIGENADA 40VOL 900ML MAR;5;16
25649; AGUA OXIGENADA BEAUTY COLOR 40;4;4
22024; AGUA OXIGENADA FARMAX  90ML 10;10;3
14646; AGUA OXIGENADA VOL10 ML FARMA;11;4
32; AGUA RABELO 500ML ;1;33
14589; AGUA RABELO C/ROMA 150ML;1;18
33863; AGULHA 13MMX0,45MM*HYPODERMIC;34;0,4
34665; AGULHA DESCARTAVEL C/1 UNIDADE;298;0,3
36830; AGULHA DESCARTAVEL C/1 UNIDADE;100;0,31
24548; AGULHA P CANETA 5MM G TECH;4;65
25211; AGULHA P INSULINA G.TCH 4MM;3;60
26822; AGULHA PARA INSULINA G-TECH 6M;2;53
13159; AIDE 3 VIT. GOTAS C/ 10 ML;1;73
22772; AIRES 20MG PEDIATRICO XARPE;3;41,84
22770; AIRES 600MG SACHES;1;108,26
25; AKINETON 2MG C/80 CPS;2;53,33
31235; ALBENDAZOL 400 MG COM 1 COMPRI;11;5
16601; ALBENDAZOL 400MG 1CPR;16;5
34962; ALBENDAZOL 400MG C/ 3CP MASTIG;5;14,99
13537; ALBENDAZOL SUSP C/10ML PRATI-D;9;5
